Polish sentence	English meaning	Frequency
Matka zrobiła mi lalkę.	Mother made a doll for me.	[ 177 413 9 1354 ]
Chciałbym wiedzieć, co robisz.	I'd like to know what you're doing.	[ 469 1087 22 375 ]
Mama zawsze wstaje wcześnie rano.	Mother always gets up early in the morning.	[ 401 79 1067 357 538 ]
Myślisz, że to moja wina?	Do you think it's my fault?	[ 698 10 6 96 1632 ]
Po co tu przyszedłeś?	What have you come here for?	[ 16 22 32 1884 ]
Tony mówi po angielsku tak jak ty.	Tony speaks English as well as you.	[ 2460 73 16 701 54 20 98 ]
Jesteś teraz zadowolony?	Are you satisfied now?	[ 49 63 1356 ]
Kiedy weszła do pokoju, wstał.	When she entered the room, he stood up.	[ 155 851 7 297 1138 ]
On czyta gazetę każdego rana.	He reads the newspaper every morning.	[ 65 312 825 208 1041 ]
Który rower bardziej lubisz?	What bicycle do you like more?	[ 1152 350 213 246 ]
Gdzie spędziłeś swoje wakacje?	Where did you spend your vacation?	[ 84 813 57 1010 ]
Nie wiem, czy nadal to mam.	I don't know if I still have it.	[ 5 154 67 2673 6 43 ]
Miasto było dokładnie takie jak wcześniej.	The town was exactly the same as before.	[ 342 36 439 501 20 1610 ]
Chciałbym pójść.	I'd like to go.	[ 469 514 ]
Jak spędziłeś wolny czas?	How did you spend your free time?	[ 20 813 885 248 ]
Ten ptak nie może latać.	This bird can't fly.	[ 23 425 5 53 1952 ]
Moja mama wstaje wcześnie rano.	My mom gets up early every morning.	[ 96 401 1067 357 538 ]
Dziękuję, to wszystko.	Thanks, that's all.	[ 1376 6 94 ]
To wszystko, dziękuję.	Nothing more, thanks.	[ 6 94 1376 ]
Telewizor nie działa.	The television doesn't work.	[ 952 5 519 ]
Powiedział mi, że muszę skończyć pracę przed szóstą.	He told me that I must finish the work by six.	[ 976 9 10 162 699 302 89 1689 ]
W żaden sposób nie mogę.	I can't do it after all.	[ 3 1707 723 5 24 ]
W żaden sposób nie mogę.	There's no way I can do it.	[ 3 1707 723 5 24 ]
Ile kosztuje ten krawat?	How much is this tie?	[ 433 168 23 1348 ]
Oni są w pracy.	They are at work.	[ 1658 17 3 294 ]
Sukces nie przychodzi łatwo.	Success doesn't come easily.	[ 1059 5 685 223 ]
Byli tam trzy dni wcześniej.	They had gone there two days before.	[ 264 40 100 451 1610 ]
Gdzie teraz mieszkasz?	Where do you live now?	[ 84 63 1333 ]
Gdzie teraz mieszkasz?	Where are you living now?	[ 84 63 1333 ]
Musimy o tym wiedzieć.	We must know about it.	[ 828 13 46 1087 ]
Kupiłem książkę za dziesięć dolarów.	I bought the book for ten dollars.	[ 767 141 11 132 1417 ]
Ken studiował angielski wczoraj wieczorem.	Ken studied English last night.	[ 592 1031 418 60 371 ]
Moje dzieci naprawdę lubią zwierzęta.	My children really like animals.	[ 64 204 83 318 1804 ]
Co jest kurwa?	What the fuck?	[ 22 1 1461 ]
Jestem wiecznie głodny.	I always feel hungry.	[ 30 599 856 ]
Jestem wiecznie głodny.	I'm always hungry.	[ 30 599 856 ]
Jest wystarczająco stary, by wiedzieć lepiej.	He is old enough to know better.	[ 1 795 415 121 1087 557 ]
Pozwól mi iść ze sobą.	Let me go with you.	[ 1464 9 88 45 878 ]
Mama robi zakupy po drodze z pracy.	My mother does her usual shopping on her way home from work.	[ 401 388 838 16 1533 8 294 ]
Możemy wynająć samochód?	Can we rent a car?	[ 242 1127 122 ]
Idziesz na film?	Are you going to a movie?	[ 1095 4 393 ]
Idziemy do domu.	We're going home.	[ 1231 7 256 ]
Chodź mi tu pomóc.	Come here and help me.	[ 1611 9 32 341 ]
Być albo nie być, oto jest pytanie.	To be or not to be, that is the question.	[ 50 768 5 50 1584 1 1032 ]
Być albo nie być, oto jest pytanie.	To be, or not to be, that is the question.	[ 50 768 5 50 1584 1 1032 ]
Czy zamierzasz śpiewać?	Are you going to sing?	[ 67 352 1077 ]
Mogę prosić o Pana nazwisko i adres?	May I ask you for your name and address?	[ 24 1236 13 271 956 27 965 ]
Jesteś na dobrej drodze.	You're on the right track.	[ 49 4 411 1533 ]
Wczoraj były moje urodziny.	Yesterday was my birthday.	[ 60 172 64 1701 ]
Wszystko co musisz zrobić to zadbać o siebie.	All you have to do is to take care of yourself.	[ 94 22 171 169 6 3210 13 309 ]
Powiedziałem mu, żeby wyszedł z pokoju.	I told him to leave the room.	[ 1589 44 205 854 8 297 ]
Nie wstał wcześnie.	He did not get up early.	[ 5 1138 357 ]
Pierwszy atak minął w cel.	The first attack missed the target.	[ 477 778 812 3 431 ]
Człowiek, którego wczoraj widziałeś to pan Brown.	The man you met yesterday was Mr Brown.	[ 237 506 60 1014 6 55 1624 ]
Musiała być bardzo piękna.	She must have been very beautiful.	[ 709 50 15 1229 ]
Musimy wszyscy zostać razem.	We all need to stay together.	[ 828 201 85 890 ]
Nie powiedziałeś jej niczego?	You didn't tell her anything?	[ 5 1457 33 512 ]
Jaki jest Twój ulubiony film?	What is your favorite movie?	[ 1925 1 39 151 393 ]
Ktoś ukradł moje prawo jazdy.	Someone stole my driving licence.	[ 190 391 64 627 1237 ]
Ktoś ukradł moje prawo jazdy.	Anyone stole my licence driver.	[ 190 391 64 627 1237 ]
Nikt mi nie powiedział.	No one told me.	[ 1018 9 5 976 ]
Ona każdego rana czyta gazetę.	She reads the newspaper every morning.	[ 125 208 1041 312 825 ]
Pamiętam co on powiedział.	I remember what he said.	[ 946 22 65 976 ]
Które zwierzę jest duże?	Which animal is big?	[ 750 650 1 608 ]
Nie musisz się tłumaczyć.	You don't need to explain that.	[ 5 171 2 1831 ]
Grałem w tenisa.	I played tennis.	[ 1047 3 458 ]
Grałem w tenisa.	I was playing tennis.	[ 1047 3 458 ]
On był w Anglii dwa razy.	He has been to England twice.	[ 65 28 3 1355 109 1456 ]
Nie jestem kopalnią pieniędzy.	I'm not made of money.	[ 5 30 1528 448 ]
Gdzie jest Twoja szkoła?	Where is your school?	[ 84 1 105 1822 ]
Chciałem, żeby wygrała.	I wanted her to win.	[ 139 205 1168 ]
To działo się każdej zimy.	This was happening every winter.	[ 6 738 2 462 1313 ]
Moja żona próbuje spać.	My wife's trying to sleep.	[ 96 165 1323 435 ]
Co jest źle?	What's wrong?	[ 22 1 1492 ]
Chciałbym wiedzieć, kto idzie z nami.	I want to know who is coming with us.	[ 469 1087 337 658 8 471 ]
Jak długo wybierasz jedzenie dla siebie?	How much time do you spend selecting the food that you will eat?	[ 20 112 2359 199 31 309 ]
Wszyscy śmiali się z chłopca.	Everybody laughed at the boy.	[ 201 1024 2 8 1291 ]
Pański dom jest wspaniały.	Your house is fantastic.	[ 759 103 1 1159 ]
Jeszcze nie skończyłem jedzenia.	I haven't quite finished eating.	[ 56 5 240 1721 ]
On ryb na surowo nie je.	He doesn't eat raw fish.	[ 65 619 4 2157 5 187 ]
Przepadam za tobą.	I like you a whole lot.	[ 1381 11 127 ]
Kto płaci za jedzenie?	Who's paying for the food?	[ 337 1480 11 199 ]
Chcę wypić kawę.	I want to drink a coffee.	[ 77 807 637 ]
On mógł to widzieć.	He may have seen it.	[ 65 329 6 1630 ]
Nie zapominaj swoich rzeczy.	Don't forget your things.	[ 5 1512 175 338 ]
Od ryb wolę mięso.	I'd prefer meat to fish.	[ 29 619 902 481 ]
On jest Chińczykiem.	This man is Chinese.	[ 65 1 1458 ]
Jak się miewa twój tata?	How is your dad?	[ 20 2 702 39 1778 ]
Czy jesz w klasie?	Do you eat in the classroom?	[ 67 367 3 1596 ]
Zbiera się na deszcz.	It is going to rain soon.	[ 756 2 4 1273 ]
Nie mów nikomu.	Don't tell anyone.	[ 5 196 1326 ]
Czemu nie możesz przyjść?	Why can't you come?	[ 1060 5 104 868 ]
On ma inne zdanie niż ona.	He differs in opinion from her.	[ 65 12 2225 563 66 125 ]
Mam poważny problem.	I have a big problem.	[ 43 1150 336 ]
Jestem młody.	I'm young.	[ 30 990 ]
Dam ci to, zanim zapomnę.	Let me give this to you before I forget.	[ 757 18 6 562 1207 ]
Jestem jeszcze zajęta.	I'm still busy.	[ 30 56 1445 ]
Umiesz odróżnić ją od jej siostry?	Can you distinguish her from her sister?	[ 285 1072 68 29 33 1576 ]
Gdybyś miał problemy, pomogę ci.	When you have difficulties, I will help you.	[ 724 150 582 1080 18 ]
Twój czas się skończył.	Your time is up.	[ 39 248 2 1756 ]
Twój czas się skończył.	Your time is over.	[ 39 248 2 1756 ]
Jestem prawie gotów.	I am all but ready.	[ 30 129 1375 ]
To słoneczny dzień.	It's a clear day.	[ 6 1165 363 ]
Wszystko się zmienia.	Everything's changing.	[ 94 2 1438 ]
Doświadczenie jest najlepszym nauczycielem.	Experience is the best teacher.	[ 614 1 1088 343 ]
Świat bardzo się zmienia.	The world changes a lot.	[ 591 15 2 1438 ]
Nie jeżdżę do szkoły autobusem.	I don't go to school by bus.	[ 5 901 7 232 1413 ]
Nie ma sprawy.	No problem.	[ 5 12 1518 ]
On jest jej przyjacielem.	He is her friend.	[ 65 1 33 1949 ]
Czy wiesz, która może być godzina?	Do you have any idea what time it is?	[ 67 497 1155 53 50 1253 ]
Jak daleko stąd do muzeum?	How far is it from here to the museum?	[ 20 647 249 7 1640 ]
Nie martw się, bądź szczęśliwy!	Don't worry, be happy!	[ 5 710 2 244 1603 ]
Nie wiem gdzie żyje.	I don't know where he lives.	[ 5 154 84 1809 ]
W zeszłym roku miał długie włosy.	His hair was long last year.	[ 3 1713 463 150 323 426 ]
W studni nie było wody.	There was no water in the well.	[ 3 1609 5 36 913 ]
Mówi po angielsku bardzo głośno.	He speaks English very loudly.	[ 73 16 701 15 1765 ]
Dziękuję za zaproszenie mnie.	Thank you for inviting me.	[ 1376 11 656 14 ]
Jem jabłka.	I am eating an apple.	[ 369 660 ]
Bardzo dziękuję za zaproszenie.	Thank you so much for inviting me.	[ 15 1376 11 656 ]
Jeżeli chcesz, to możemy używać angielskiego.	If you want we can use English.	[ 1172 74 6 242 1022 572 ]
Nikt nie został ranny.	No one was hurt.	[ 1018 5 144 892 ]
Nie mogę jeść mięsa.	I can't eat meat.	[ 5 24 217 1817 ]
Zrobił to dla swojej siostry.	He made it for his sister.	[ 831 6 31 135 1576 ]
Drzwi są otwarte.	The door is open.	[ 434 17 1098 ]
Gdzie my jesteśmy?	Where are we?	[ 84 1181 284 ]
Dawno cię nie widziałem.	I haven't seen you for a long time.	[ 1790 26 5 245 ]
Dawno cię nie widziałem.	I haven’t seen you for a while.	[ 1790 26 5 245 ]
On wciąż stoi.	He is still standing.	[ 65 218 1267 ]
Dalej cię kocham.	I'm still in love with you.	[ 704 26 820 ]
Masz odpowiedzieć na pytanie.	You've got to answer the question.	[ 37 997 4 1032 ]
Czy to jest czerwony długopis?	Is that a red pen?	[ 67 6 1 1463 1052 ]
Co widziałeś?	What did you see?	[ 22 1014 ]
Co jest, kurwa, z tobą źle?	What the fuck is wrong with you?	[ 22 1 1461 8 127 1492 ]
To mój letni kapelusz.	This is my hat in the summer.	[ 6 41 1472 556 ]
Musisz przyjść.	You have to come.	[ 171 868 ]
Do kiedy macie otwarte?	How late do you stay open?	[ 7 155 818 1098 ]
Pracuję w tym budynku.	I work in this building.	[ 693 3 46 1336 ]
Nie wszyscy studenci byli obecni.	Not all the students were present.	[ 5 201 755 264 1374 ]
Wszystko pamiętam.	I remember everything.	[ 94 946 ]
Właśnie wysłałem do Ciebie zaproszenie.	I've just sent an invitation for you.	[ 145 1719 7 75 656 ]
To chciałbym wiedzieć.	That is what I want to know.	[ 6 469 1087 ]
Kocham cię jak brata.	I love you like a brother.	[ 820 26 20 1220 ]
W ogóle go nie zrozumiałem.	I did not understand him at all.	[ 3 1742 21 5 837 ]
Lubimy czytać książki.	We enjoy reading books.	[ 1200 137 229 ]
Mogę spać gdziekolwiek.	I can sleep anywhere.	[ 24 435 1107 ]
Nie ma szans.	You won't stand a chance.	[ 5 12 1549 ]
Stacja jest dwa metry stąd.	The station is two meters away.	[ 849 1 109 1402 249 ]
On jest wysoki i silny.	He is tall and strong.	[ 65 1 438 27 2081 ]
Nikt nie przyszedł.	Nobody came.	[ 1018 5 545 ]
Nigdy czegoś takiego nie powiedziałem.	I've never seen anything like it.	[ 295 410 317 5 1589 ]
Ile kosztuje ten sweter?	How much is this pullover, please?	[ 433 168 23 1469 ]
Telefon nie działa.	The phone is out of order.	[ 1046 5 519 ]
Lubię nasze zdjęcie!	I like this picture of us!	[ 47 823 700 ]
Wiem, gdzie mieszkasz.	I know where you live.	[ 154 84 1333 ]
Powiedziała, że lubi kwiaty.	She says that she likes flowers.	[ 1583 10 35 468 ]
W pobliżu mojego domu jest szkoła.	There is a school near my house.	[ 3 981 81 256 1 1822 ]
Był zbyt zmęczony, aby się uczyć.	He was too tired to study.	[ 28 108 2582 288 2 136 ]
Mógłbyś wyłączyć Twój telewizor?	Could you please turn your television down?	[ 289 817 39 952 ]
Nie sądzisz, że to dziwne, że mieszkam sam?	Don't you believe it is strange that I should live alone?	[ 5 728 10 6 620 10 2591 225 ]
Czym prędzej poszedłem do niego.	I went to his place straight away.	[ 152 1248 1058 7 163 ]
Dać znać, kiedykolwiek.	Say the word any time.	[ 933 419 226 ]
Masz szczęście, ponieważ nie ugryzł Ciebie.	You're lucky because he didn't bite you.	[ 37 664 1744 5 632 75 ]
To twój klucz.	This is your key.	[ 6 39 1534 ]
Nie potrafię zrozumieć jego powieści.	His novel is beyond my comprehension.	[ 5 565 385 34 1643 ]
Jest żonaty i ma troje dzieci.	He's married and has three children.	[ 1 1515 27 12 1400 204 ]
Nie wiem jak obsługiwać ten komputer.	I don't know how to operate this computer.	[ 5 154 20 1481 23 1477 ]
Czy jej historia jest prawdziwa?	Is her story true?	[ 67 33 452 1 2082 ]
On siedzi obok swojego brata.	He's sitting next to his brother.	[ 65 973 280 97 1220 ]
Zapłaciłem pięć dolarów za tą książkę.	I paid five dollars for this book.	[ 1288 157 1417 11 149 141 ]
Jabłka są czerwone.	Apples are red.	[ 660 17 905 ]
Ten wysoki mężczyzna to pan Smith.	That tall man is Mr. Smith.	[ 23 438 1473 6 55 1176 ]
Mam dwa samochody.	I have two cars.	[ 43 109 1434 ]
Czy możesz podać mi swój numer telefonu?	May I have your phone number?	[ 67 104 503 9 58 278 2682 ]
Czy możesz podać mi swój numer telefonu?	Could you tell me your mobile number please?	[ 67 104 503 9 58 278 2682 ]
Codziennie rano piję kawę.	I always drink a cup of coffee every morning.	[ 444 538 496 637 ]
Wyszedł wcześnie żeby się nie spóźnić.	He left early in order not to be late.	[ 854 357 205 2 5 1750 ]
Po prostu nie mogę o Tobie zapomnieć.	I just can't forget about you.	[ 16 370 5 24 13 389 2887 ]
Jest siódma czterdzieści pięć.	It's quarter to eight now.	[ 1 1341 618 157 ]
Jest siódma czterdzieści pięć.	It is 7:45.	[ 1 1341 618 157 ]
Mike bardzo dobrze pływa.	Mike swims very well.	[ 1476 15 80 548 ]
Jak myślisz, ile razy tu jadłem?	How many times do you think you've eaten here?	[ 20 698 433 1456 32 540 ]
Dlaczego uciekł?	Why did he run away?	[ 387 673 ]
Niewiele osób tak myśli.	Few people think so.	[ 492 529 54 1045 ]
Pogoda często się zmienia.	Weather changes often.	[ 553 128 2 1438 ]
Nikt tak nie myśli.	No one thinks so.	[ 1018 54 5 1045 ]
Możesz mi pomóc to podnieść?	Can you help me lift this?	[ 104 9 341 6 2193 ]
Możemy poczekać jeszcze chwilkę?	Can't we wait a little bit longer?	[ 242 662 56 1163 ]
Nie ma żadnej chmury dzisiaj.	There were no clouds today.	[ 5 12 1023 1539 76 ]
On ma trzy starsze siostry.	He has three older sisters.	[ 65 12 100 906 1576 ]
Powiedziałem, że powinien nie mieć niczego.	I said that he should not have anything.	[ 1589 10 921 5 166 512 ]
Ciężko pracują.	They work hard.	[ 347 721 ]
Chciałbym jak najszybciej znaleźć pracę.	I plan to get a job as soon as I can.	[ 469 20 1625 254 302 ]
Będzie musiała gotować dla wszystkich.	She will have to cook for everyone.	[ 51 709 1486 31 395 ]
Nikt ze mną nie rozmawia.	No one speaks with me.	[ 1018 45 298 5 1306 ]
On codziennie ogląda telewizję.	He watches TV every day.	[ 65 444 530 1099 ]
Lubię tenisa i golfa.	I like tennis and golf.	[ 47 458 27 1607 ]
Jestem mężczyzną bez kobiety.	I am a man without woman.	[ 30 1241 62 808 ]
Z pewnością.	Certainly.	[ 8 1063 ]
Rano muszę wypić kawę.	I must have a cup of coffee in the morning.	[ 538 162 807 637 ]
Muszę zdobyć coś do jedzenia.	I need to get something to eat.	[ 162 753 38 7 1721 ]
Będę grał w tenisa w następną niedzielę.	I am going to play tennis next Sunday.	[ 146 449 3 458 3 1649 1049 ]
Trudno jest mi zrozumieć te pytanie.	It is difficult for me to understand this question.	[ 1664 1 9 385 130 1032 ]
Ostatni rozdział tej książki.	The last chapter of this book.	[ 581 1256 82 229 ]
Mam pytanie.	I have a question.	[ 43 1032 ]
Mam pytanie.	I've got a question.	[ 43 1032 ]
Śnieg mi nie przeszkadza.	I don't care if it snows.	[ 1433 9 5 703 ]
To dobry interes.	This is a good deal.	[ 6 119 1488 ]
To dobry interes.	This is a good bargain.	[ 6 119 1488 ]
Jego pies na mnie szczeka.	His dog barks at me.	[ 34 215 4 14 2423 ]
Dlaczego nie potrafię śpiewać tak jak oni?	Why can't I sing like they can?	[ 387 5 565 1077 54 20 1658 ]
Nie ma problemów.	There are no problems.	[ 5 12 1600 ]
Możesz mi pomóc przetłumaczyć to zdanie na chiński?	Can you help me to translate these sentences into Chinese?	[ 104 9 341 1825 6 563 4 1462 ]
To błąd.	It's a mistake.	[ 6 1073 ]
Ken dzwoni do mnie codziennie.	Ken calls me every day.	[ 592 1646 7 14 444 ]
Chcemy czegoś nowego.	We want something new.	[ 993 410 219 ]
To moje spodnie.	Those are my trousers.	[ 6 64 1552 ]
Czy ona umie grać na fortepianie?	Does she play the piano?	[ 67 125 118 111 4 2822 ]
Ona zawsze ubiera się na czarno.	She always wears black.	[ 125 79 1915 2 4 1122 ]
Czy ona umie grać na fortepianie?	Does she play piano?	[ 67 125 118 111 4 2822 ]
Jestem bardzo szczęśliwy, że cię widzę.	I'm very happy to see you.	[ 30 15 1603 10 26 1570 ]
Ona jest wiecznie zajęta.	She is always busy.	[ 125 1 599 1445 ]
Nie przestawała pracować.	She kept working.	[ 5 1157 466 ]
Zawsze jest ciekawa tego, co robię.	She is always curious about what I am doing.	[ 79 1 2052 19 22 1083 ]
Myślisz, że jestem kopalnią pieniędzy?	Do you think I'm made of money?	[ 698 10 30 1528 448 ]
Potrzebuję pomocy.	I need help.	[ 368 719 ]
Ona nie mówi w domu po japońsku.	She doesn't speak Japanese at home.	[ 125 5 73 3 256 16 3330 ]
Nie znam tego sąsiada zbyt dobrze.	I don't know this neighborhood too well.	[ 5 183 19 2872 108 80 ]
Kto pójdzie ze mną?	Who will come with me?	[ 337 1499 45 298 ]
Zgubił swój bilet na film.	He lost his ticket for the movie.	[ 1971 58 301 4 393 ]
Ile będziesz musiała czekać?	How long will you have to wait?	[ 433 353 709 691 ]
Czy jestem twoim przyjacielem?	Am I your friend?	[ 67 30 140 1949 ]
Musimy ciężko pracować.	We must work hard.	[ 828 347 466 ]
Drzwi są czasami otwarte.	The door is sometimes open.	[ 434 17 639 1098 ]
Nie brakuje niczego.	Nothing is missing.	[ 5 1125 512 ]
Witamy w naszym domu!	Welcome to our home!	[ 1307 3 624 256 ]
Wygląda na to, że ona ma wielu przyjaciół.	It looks like she has a lot of friends.	[ 142 4 6 10 125 12 221 3863 ]
Są duże szanse, że zostanie wybrany.	There's a good chance that he'll be elected.	[ 17 608 1251 10 486 916 ]
Na początku go nie lubiłem.	At first, I didn't like him.	[ 4 1629 21 5 1082 ]
Chcę dostać prawdziwą pracę.	I want to get a real job.	[ 77 243 1572 302 ]
Zadzwoń do mnie do biura.	Call me at the office.	[ 999 7 14 7 1718 ]
Jestem bardzo szczęśliwy.	I'm very happy.	[ 30 15 1603 ]
Masz ochotę na grę w tenisa w niedzielę?	Would you like to play tennis on Sunday?	[ 37 539 4 2303 3 458 3 1049 ]
Dlaczego nikt mi nie wierzy?	Why doesn't anyone believe me?	[ 387 1018 9 5 1329 ]
Ona bardzo lubi swoją szkołę.	She likes her school a lot.	[ 125 15 35 70 2505 ]
To biurko, które kupiłem wczoraj, jest wielkie.	This desk which I bought yesterday is very big.	[ 6 872 750 767 60 1 1396 ]
Możesz odpowiedzieć?	Can you answer?	[ 104 997 ]
Czy można prosić o szklankę wody?	May I have a glass of water, please?	[ 67 296 1236 13 779 913 ]
Był zbyt zawstydzony żeby to zrobić.	He was too embarrassed to do it.	[ 28 108 2788 205 6 169 ]
Każde jabłko jest czerwone.	Every apple is red.	[ 982 319 1 905 ]
To dziwne pytanie.	That's a strange question.	[ 6 620 1032 ]
To jest naprawdę niezłe!	This is really nice!	[ 6 1 83 2124 ]
Woda jest niezbędna do życia.	Water is essential to life.	[ 633 1 1722 7 406 ]
Jak śmiesz jej mówić takie rzeczy.	How dare you say such a thing to her!	[ 20 2321 33 110 501 338 ]
Możemy przyjść?	Can we come?	[ 242 868 ]
Lepiej nie czekaj już dłużej.	You had better not wait any longer.	[ 557 5 1617 25 571 ]
Lepiej nie czekaj już dłużej.	You shouldn't wait any longer.	[ 557 5 1617 25 571 ]
Ona ma bardzo ładną twarz.	She has a very pretty face.	[ 125 12 15 603 2025 ]
Został wykluczony z klubu.	He was excluded from the club.	[ 144 1406 8 667 ]
Podoba ci się ta dziewczyna?	Are you interested in that girl?	[ 1740 18 2 161 865 ]
Dlaczego nie było cię wczoraj w szkole?	Why weren't you at school yesterday?	[ 387 5 36 26 60 3 3385 ]
Pod stołem jest kot.	There's a cat under the table.	[ 114 1543 1 574 ]
On zamknął drzwi.	He closed the door.	[ 65 1177 434 ]
On zamknął drzwi.	He shut the door.	[ 65 1177 434 ]
Chciałbym kogoś innego.	I want somebody else.	[ 469 780 428 ]
Do zobaczenia w weekend.	See you on the weekend.	[ 7 202 3 2024 ]
Wkrótce wyszła ponownie za mąż.	She remarried soon.	[ 348 384 991 11 1062 ]
Powiedział mi, że zgubił swój zegarek.	He told me that he had lost his watch.	[ 976 9 10 1971 58 332 ]
Miała właśnie zacząć.	She was about to start.	[ 233 145 1302 ]
Nie podobało mi się.	I didn't like it.	[ 5 2224 9 2 ]
Co byś powiedział na mecz tenisa?	How about playing tennis?	[ 22 197 976 4 1706 458 ]
Gra w tenisa każdej niedzieli.	She plays tennis every Sunday.	[ 148 3 458 462 1732 ]
Czy mam nóż?	Do I have a knife?	[ 67 43 1573 ]
Wiem jak się czujesz, ale to koniec.	I know how you feel, but it's over.	[ 154 20 2 2305 159 6 1284 ]
Był piękny, słoneczny dzień.	It was a beautiful sunny day.	[ 28 690 1165 363 ]
Ona ma piękne pismo.	She has beautiful handwriting.	[ 125 12 522 1587 ]
To miejsce było ciche.	The area was quiet.	[ 6 333 36 1871 ]
Mogłem stracić pracę.	I could have lost my job.	[ 164 1221 302 ]
Widziałem film pięć razy.	I saw the movie five times.	[ 245 393 157 1456 ]
Przed nami zagrożenie.	Danger ahead.	[ 89 471 1129 ]
Ona bierze prysznic co rano.	She showers every morning.	[ 125 1065 1066 22 538 ]
Ona bierze prysznic co rano.	She takes a shower every morning.	[ 125 1065 1066 22 538 ]
Chciałbym zarezerwować trzy miejsca.	I'd like to book three seats.	[ 469 749 100 935 ]
Chciałbym ci powiedzieć coś ważnego.	I want to tell you something important.	[ 469 18 291 38 2001 ]
Myję ręce.	I wash my hands.	[ 707 421 ]
Od czasu do czasu oglądam telewizję.	I watch TV now and then.	[ 29 549 7 549 1151 1099 ]
W studni było mało wody.	There was little water in the well.	[ 3 1609 36 263 913 ]
Czy znasz pana Brown?	Do you know Mr. Brown?	[ 67 299 271 1624 ]
Gdzie zamierzasz zjeść obiad?	Where are you going to eat lunch?	[ 84 352 311 1514 ]
Wytłumacz mi to.	Explain it to me.	[ 1681 9 6 ]
Twój długopis jest lepszy od mojego.	Your pen is better than mine.	[ 39 1052 1 2190 29 81 ]
Pamiętasz mnie?	Do you remember me?	[ 1117 14 ]
Mama zostawiła mi wiadomość.	Mother left me a message.	[ 401 1324 9 528 ]
Powinienem wczoraj wieczorem pójść wcześniej spać.	I should have gone to bed earlier last night.	[ 403 60 371 514 1610 435 ]
Jestem pewna.	I am sure.	[ 30 1103 ]
Piję kawę.	I drink coffee.	[ 496 637 ]
Jestem pewna.	I'm certain.	[ 30 1103 ]
Nic nie widzę.	I don't see anything.	[ 126 5 1570 ]
Nic nie widzę.	I can't see anything.	[ 126 5 1570 ]
Powiedziałem ci wszystko.	I've told you everything.	[ 1589 18 94 ]
Teraz rozumie co mam na myśli.	Now she understands what I mean.	[ 63 2226 22 43 4 1045 ]
Gdzieś płacze dziecko.	A child is crying somewhere.	[ 227 1182 293 ]
Zacząłem grać w golfa lata temu.	I began playing golf years ago.	[ 731 111 3 1607 558 397 ]
Gram w ogrodzie.	I'm playing in the garden.	[ 645 3 1056 ]
Jestem odrobinę głodny.	I'm a little hungry.	[ 30 819 856 ]
Dokąd prowadzi ta droga?	Where does this road lead to?	[ 564 861 161 689 ]
Widziałem ten film dawno temu.	I saw this movie a very long time ago.	[ 245 23 393 1790 397 ]
Powinieneś pracować ciężej.	You should work hard.	[ 158 466 1085 ]
Znasz odpowiedź?	Do you know the answer?	[ 299 841 ]
Musisz posprzątać stół.	You must clear the table.	[ 171 585 958 ]
On jest bardzo ważnym człowiekiem.	He is a very important person.	[ 65 1 15 1759 1017 ]
Ta książka wydaje się ciekawa.	This book seems interesting.	[ 161 90 552 2 2052 ]
On jest bardzo ważnym człowiekiem.	He's a very important person.	[ 65 1 15 1759 1017 ]
Muszę wziąć prysznic.	I need to take a shower.	[ 162 488 1066 ]
Powiedziałem jej wszystko.	I told her everything.	[ 1589 33 94 ]
Mam dwanaście lat.	I'm twelve years old.	[ 43 1217 456 ]
Czy jesteś szczęśliwy?	Are you happy?	[ 67 49 1603 ]
Co brakuje?	What is missing?	[ 22 1125 ]
Co brakuje?	What's missing?	[ 22 1125 ]
Chyba muszę do domu, stara czeka.	I guess I should get home to the missus.	[ 252 162 7 256 1101 1668 ]
Czy jedzenie wątróbki jest zdrowe?	Is eating liver good for you?	[ 67 199 1816 1 790 ]
Mój młodszy brat jest wyższy niż ja.	My younger brother is taller than I am.	[ 41 907 209 1 2594 66 206 ]
Jak minęły Ci wakacje?	How was your summer vacation?	[ 20 1252 18 1010 ]
Jak ci minęły wakacje?	How was your holiday?	[ 20 18 1252 1010 ]
Kto robi naczynia ?	Who's doing the dishes?	[ 337 388 1577 ]
Wszystkie psy żyją.	All the dogs are alive.	[ 179 304 1244 ]
Jeśli nie teraz nigdy tego nie zrobię.	If I don't do it now, I never will.	[ 178 5 63 295 19 5 3465 ]
Czemu jesteś taki szczęśliwy ?	Why are you so happy?	[ 1060 49 167 1603 ]
Całkowicie się z panem zgadzam.	I do agree with you entirely, Sir.	[ 1287 2 8 784 798 ]
Jesteś pewna?	Are you sure?	[ 49 1103 ]
Była tak miła i kupiła mi bilet.	She had the kindness to buy a ticket for me.	[ 61 54 1801 27 1780 9 301 ]
Dziękuję, już mi wystarczy.	Thank you, I've had enough.	[ 1376 25 9 895 ]
Czy muzeum jest dzisiaj otwarte?	Is the museum open today?	[ 67 1640 1 76 1098 ]
Pies biegnie.	A dog runs.	[ 215 938 ]
Co ona powiedziała?	What did she say?	[ 22 125 1583 ]
Czytałem twoją książkę.	I read your book.	[ 1494 95 141 ]
Czytałem twoją książkę.	I did read your book.	[ 1494 95 141 ]
Trudno skończyć tę pracę w jeden dzień.	It is difficult to finish the work in a day.	[ 1664 699 59 302 3 948 363 ]
Kochasz ją?	Do you love her?	[ 1086 68 ]
